Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
OpenFunction,True,create::deployments::apps::whole; create::jobs::batch::whole; create::statefulsets::apps::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::statefulsets::apps::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::statefulsets::apps::whole,0,0,18,0
openfga,N/A,,0,0,0,0
teller,N/A,,0,0,0,0
inspektor-gadget,N/A,,0,0,0,0
kured,True,patch::nodes::::whole; update::daemonsets::apps::whole,0,0,1,1
kubeslice,True,create::daemonsets::apps::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::replicasets::apps::whole; create::statefulsets::apps::whole; get::*::*::whole; get::*::::whole; get::*::admissionregistration.k8s.io::whole; get::*::apps::whole; get::*::autoscaling::whole; get::*::batch::whole; get::*::networking.k8s.io::whole; get::*::policy::whole; get::*::rbac.authorization.k8s.io::whole; get::secrets::::whole; get::secrets::core::whole; list::*::*::whole; list::*::::whole; list::*::admissionregistration.k8s.io::whole; list::*::apps::whole; list::*::autoscaling::whole; list::*::batch::whole; list::*::networking.k8s.io::whole; list::*::policy::whole; list::*::rbac.authorization.k8s.io::whole; list::secrets::::whole; list::secrets::core::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::pods::::whole; patch::replicasets::apps::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::pods::::whole; update::replicasets::apps::whole; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::apps::whole; watch::*::*::whole; watch::*::::whole; watch::*::admissionregistration.k8s.io::whole; watch::*::apps::whole; watch::*::autoscaling::whole; watch::*::batch::whole; watch::*::networking.k8s.io::whole; watch::*::policy::whole; watch::*::rbac.authorization.k8s.io::whole; watch::secrets::::whole; watch::secrets::core::whole,71,10,29,0
dex,N/A,,0,0,0,0
kubewarden-controller,N/A,,0,0,0,0
merbridge,N/A,,0,0,0,0
CNI-Genie,True,patch::pods::::whole; update::pods::::whole,0,0,8,0
kcp,True,create::pods::::whole; get::secrets::::whole; list::secrets::::whole; patch::secrets::::whole; update::secrets::::whole; watch::secrets::::whole,14,3,1,0
athenz,N/A,,0,0,0,0
curve,N/A,,0,0,0,0
akri,True,create::jobs::batch::whole; create::pods::::whole; get::secrets::core::whole; patch::jobs::batch::whole; patch::pods::::whole; update::jobs::batch::whole; update::pods::::whole,1,0,6,0
k8sgpt,True,get::*::*::whole; list::*::*::whole; watch::*::*::whole,3,0,0,0
k8up,True,create::deployments::apps::whole; create::jobs::batch::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; update::deployments::apps::whole; update::jobs::batch::whole,0,0,6,0
parsec,N/A,,0,0,0,0
connect-go,N/A,,0,0,0,0
kubestellar,True,create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::pods::::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::pods::::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,6,2,12,0
spiderpool,True,get::secrets::::whole; list::secrets::::whole; patch::nodes::::whole; patch::pods::::whole; patch::secrets::::whole; update::cronjobs::batch::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::nodes::::whole; update::pods::::whole; update::replicasets::apps::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,15,10,24,10
clusternet,N/A,,0,0,0,0
